,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
,Pepsi,44
,Coke,11
,Dark Fantasy,55
,Milkbiky,22
,Bread,88
,Chips,77
,Corn,44
,Roasted Almond,2
,Oreo,0
